,Unnamed: 0,search_id,trip_index,received_date,received_ms,origin,destination,total_usd,pax_type,refundable,validating_carrier,departure_odate,departure_ms,outgoing_duration,outgoing_stops,return_odate,return_ms,returning_duration,returning_stops,major_carrier_id,total_stops,advance,length_of_stay,includes_saturday_night_stay,available_seats,lowest_cabin_class,highest_cabin_class
22,495023,a0979230-b050-3d68-a996-0afa9b5cbb09,26,2016-07-17,1468785911622,BOS,CUN,465.97,ADT,,AA,2016-09-08,1473335700000,394,1,2016-09-12,1473683700000,515,1,AA,2,53,4,True,9,E,E
23,1935448,9da008cc-2853-3d11-b92a-1687ee6786d8,83,2016-12-17,1481986091969,BOS,CUN,341.18,ADT,,AA,2017-01-06,1483700400000,396,1,2017-08-06,1502017200000,985,1,AA,2,20,212,True,2,E,E
24,2228971,768ca413-5ddf-371c-b1d6-a1c9f8c07b85,190,2016-12-18,1482047731107,BOS,CUN,631.68,ADT,,UA,2016-12-29,1483010100000,530,1,2017-01-03,1483473600000,879,1,UA,2,11,5,True,3,E,E
25,349383,3c4eac8c-39de-3725-bb22-d4413bded726,86,2015-10-11,1444572071782,BOS,CUN,416.14,,,,2016-02-01,1454351400000,436,1,2016-02-08,1454943240000,566,1,DL,2,113,7,True,4,E,E
26,403558,be1deb4a-9f57-3d18-9145-53d9015ba8b1,119,2016-05-29,1464534677191,BOS,CUN,565.58,ADT,,AA,2016-12-03,1480763700000,385,1,2016-12-10,1481381400000,463,1,AA,2,188,7,True,8,E,E
27,2558909,619b2b04-c95a-3a0a-9728-f21db18a361f,64,2016-01-26,1453850809511,BOS,CUN,732.79,ADT,,UA,2016-03-13,1457864160000,664,1,2016-03-20,1458493800000,562,1,UA,2,47,7,True,9,E,E
28,2400617,88f1c097-4668-3647-a047-33f6c435b220,105,2015-11-11,1447258566878,BOS,CUN,537.7,,,,2016-02-18,1455802200000,395,1,2016-02-25,1456401600000,565,1,DL,2,99,7,True,9,E,E
29,2995319,39412c1f-4660-3611-b309-ea3c2d794bc4,54,2016-08-28,1472403249405,BOS,CUN,477.52,ADT,,AA,2016-12-30,1483097100000,951,1,2017-01-08,1483883700000,373,1,AA,2,124,9,True,9,E,E
30,1560147,251f5619-5c4a-3ab9-ba99-c80565c5196c,58,2016-03-28,1459218019032,BOS,CUN,499.69,ADT,,AA,2016-04-13,1460538000000,551,1,2016-04-20,1461150300000,565,1,AA,2,16,7,True,3,E,E
31,2508980,1c24ea06-23ec-33bb-962c-e05e3b39a69e,153,2016-01-31,1454270954230,BOS,CUN,543.29,ADT,,UA,2016-05-11,1462973400000,602,2,2016-05-14,1463256000000,489,1,UA,3,101,3,False,9,E,E
32,1821000,3344859d-b7cd-3ca1-ad76-117623a40dfc,172,2016-11-10,1478818563417,BOS,CUN,301.91,ADT,,AA,2017-01-10,1484049600000,455,1,2017-01-14,1484426100000,1271,1,AA,2,61,4,False,7,E,E
33,1218723,143039d7-f24f-33fc-8f4c-a584babc135c,25,2015-11-20,1448026890413,BOS,CUN,329.7,,,,2015-12-04,1449226200000,402,1,2015-12-08,1449599220000,595,1,UA,2,14,4,True,4,E,E
34,2420563,7138a637-263b-3e4f-bdcb-5a567b6b7d63,60,2016-10-20,1477009964270,BOS,CUN,322.43,ADT,,UA,2017-01-05,1483662720000,943,1,2017-01-09,1483980000000,743,2,UA,3,77,4,True,9,E,E
35,2947513,7dc21c17-eff2-35c6-bbce-cc2bdb025b5a,122,2015-10-21,1445456221571,BOS,CUN,628.36,,,,2016-02-20,1455970500000,470,1,2016-02-28,1456670700000,730,2,DL,3,122,8,True,3,E,E
36,2532796,ac9dd393-9d34-3c56-ae44-c59be67bb352,22,2016-11-27,1480242651488,BOS,CUN,310.91,ADT,,AA,2016-12-16,1481884380000,888,1,2016-12-24,1482610500000,584,1,AA,2,19,8,True,2,E,E
37,1166804,cf49290f-34b5-3276-8943-b8bbea3cb499,194,2016-09-11,1473639849519,BOS,CUN,416.69,ADT,,AA,2017-01-21,1484997900000,483,1,2017-01-28,1485626100000,373,1,AA,2,132,7,True,3,E,E
38,2544985,e4034f57-9246-3b2b-8aa5-8be91d131b76,132,2016-11-27,1480265784107,BOS,CUN,766.04,ADT,,AA,2017-02-18,1487457900000,1125,1,2017-02-24,1487958900000,1251,1,AA,2,83,6,True,1,E,E
39,745174,c601f6ef-d6ac-346a-bd99-cfa635420254,109,2016-04-28,1461877044405,BOS,CUN,610.3,ADT,,AA,2016-09-08,1473331200000,445,1,2016-09-11,1473623100000,405,1,AA,2,133,3,True,7,E,E
40,1774505,e8022f9f-76af-3512-847e-b4bcc1001c1e,69,2015-12-17,1450371739575,BOS,CUN,695.21,ADT,,DL,2016-03-16,1458149400000,436,1,2016-03-20,1458478800000,525,1,DL,2,90,4,True,9,E,E
41,457911,c3493fe8-723a-3ade-9118-c7c43d666aa7,91,2016-09-09,1473451687442,BOS,CUN,436.19,ADT,,AA,2017-05-03,1493836560000,460,1,2017-05-13,1494704700000,405,1,AA,2,236,10,True,1,E,E
42,2026874,21bf1dd4-7b26-38aa-8a69-3c8a6b84ba6b,118,2016-10-08,1475959370904,BOS,CUN,352.43,ADT,,UA,2017-01-27,1485546180000,532,1,2017-01-31,1485865200000,802,2,UA,3,111,4,True,9,E,E
43,1977757,23612bb8-6f25-3839-9afb-b007fe99b86c,128,2016-09-07,1473302047656,BOS,CUN,507.69,ADT,,AA,2017-01-03,1483443600000,387,1,2017-01-08,1483898100000,373,1,AA,2,118,5,True,1,E,E
44,907384,d3760f4d-25ff-3fc3-b3c7-a32bb833dac9,120,2016-12-26,1482808200251,BOS,CUN,386.68,ADT,,AA,2017-03-04,1488672960000,1044,1,2017-03-10,1489171500000,1218,1,AA,2,68,6,True,9,E,E
45,619061,755a0edb-bd70-3051-beef-2ae88c554a25,116,2016-11-18,1479490036776,BOS,CUN,521.46,ADT,,AA,2017-02-21,1487708400000,1235,1,2017-02-24,1487969100000,1104,1,AA,2,95,3,False,6,E,E
46,2059277,1823f819-6932-3b62-b874-59cc8db8adbb,67,2016-05-27,1464392588813,BOS,CUN,567.08,ADT,,AA,2016-11-09,1478691600000,445,1,2016-11-12,1478972700000,448,1,AA,2,166,3,False,2,E,E
47,96627,bfbde5af-feec-30ad-a640-44e505dea0ed,70,2016-07-27,1469650189837,BOS,CUN,859.97,ADT,,AA,2017-02-18,1487432580000,693,1,2017-02-25,1488061500000,408,1,AA,2,206,7,True,2,E,E
48,280813,99fd03de-41c4-31c7-b7f4-1cb58493af2e,48,2016-12-31,1483196813480,BOS,CUN,302.58,ADT,,AM,2017-05-18,1495164600000,1160,1,2017-05-22,1495462680000,677,1,AM,2,138,4,True,9,E,E
49,1989969,55c4de52-befe-31a5-b49b-16e5d8a460eb,129,2016-06-01,1464824085217,BOS,CUN,678.24,ADT,,AA,2016-08-21,1471780800000,376,1,2016-08-28,1472410980000,600,1,AA,2,81,7,True,2,E,E
50,1505513,1b5cf7dc-3c16-3827-8a63-e54aac6dacde,41,2016-12-06,1481084807283,BOS,CUN,341.58,ADT,,AM,2017-04-15,1492313400000,1111,1,2017-04-20,1492668600000,1165,1,AM,2,129,5,True,9,E,E
51,2063863,32b76a7e-6425-3282-ad6d-0f23603387a9,73,2016-06-17,1466193438582,BOS,CUN,645.74,ADT,,AA,2016-11-10,1478779200000,405,1,2016-11-13,1479069900000,405,1,AA,2,146,3,True,1,E,E
52,1561195,4ba9c033-257c-342b-804b-68f13a24d2ad,158,2016-03-28,1459188629477,BOS,CUN,668.19,ADT,,AA,2016-04-22,1461319500000,373,1,2016-04-25,1461582300000,565,1,AA,2,25,3,True,6,E,E
53,1063334,84364ea2-464e-3696-bdf8-12009445be81,104,2016-06-27,1467019621634,BOS,CUN,503.74,ADT,,AA,2016-10-15,1476544200000,610,1,2016-10-22,1477155300000,373,1,AA,2,110,7,True,1,E,E
54,1759464,b80b5f89-25e2-3717-ae05-b94efa998e10,98,2016-12-28,1482925013291,BOS,CUN,714.18,ADT,,AA,2017-02-19,1487550300000,1144,1,2017-02-25,1488024000000,778,2,AA,3,53,6,False,1,E,F
55,2852425,4944c0ef-3026-3321-a2eb-54be8950e89a,132,2016-01-16,1452965820093,BOS,CUN,546.69,ADT,,DL,2016-02-17,1455710400000,765,2,2016-02-23,1456256400000,440,1,DL,3,32,6,True,9,E,E
56,2570322,1bf2ec13-de89-3c04-a221-8d557746ace1,67,2016-04-04,1459818555706,BOS,CUN,585.8,ADT,,AA,2016-07-25,1469440800000,465,1,2016-08-06,1470481260000,482,1,AA,2,112,12,True,2,E,E
57,1597461,5476402b-236f-391e-bc34-e4a8585ae2c4,164,2015-10-19,1445263258961,BOS,CUN,1926.86,,,,2015-12-27,1451228400000,634,2,2016-01-02,1451739600000,427,1,DL,3,69,6,False,2,B,F
58,485289,8a3161c5-0e81-3045-9049-1c60067c48aa,75,2016-10-27,1477608595746,BOS,CUN,501.03,ADT,,AM,2017-02-18,1487478600000,608,1,2017-02-23,1487860620000,718,1,AM,2,114,5,True,7,E,E
59,387375,7dd2e62a-3269-3874-a9e1-6d583ea7a4e6,20,2016-10-06,1475805958269,BOS,CUN,350.43,ADT,,AA,2017-01-08,1483873200000,521,1,2017-01-12,1484222400000,538,1,AA,2,94,4,False,9,E,E
60,2094528,0b40a85b-1b51-325b-ac28-bf07951e17e3,159,2015-07-31,1438354702577,BOS,CUN,1133.48,,,,2015-08-08,1439027400000,408,1,2015-08-15,1439650500000,411,1,DL,2,8,7,True,1,E,B
61,934151,b25fbda3-9a6e-33b7-a39a-3dc9dfca033c,118,2016-07-12,1468321671227,BOS,CUN,562.47,ADT,,UA,2017-05-18,1495103400000,508,1,2017-05-22,1495483200000,489,1,UA,2,310,4,True,9,E,E
62,437900,61bc9e61-3841-309d-aaa0-06463e0b789d,150,2016-10-11,1476198691896,BOS,CUN,663.43,ADT,,AA,2016-11-04,1478293620000,1068,1,2016-11-25,1480085040000,1467,1,AA,2,24,21,True,4,E,E
63,1379824,3d79fee3-5b60-341e-8530-4236cff59189,160,2016-08-26,1472254192941,BOS,CUN,608.52,ADT,,AA,2016-11-11,1478863800000,470,1,2016-11-14,1479150300000,463,1,AA,2,77,3,True,1,E,E
64,2585518,29f2df06-f0cd-3569-b12c-61b752557e0d,70,2016-11-06,1478484363428,BOS,CUN,483.91,ADT,,UA,2016-12-16,1481935200000,935,1,2016-12-30,1483100400000,1038,1,UA,2,40,14,True,4,E,E
65,868252,f04b952b-7192-3efc-bd9d-827f74f0e0df,0,2016-02-08,1454941723331,BOS,CUN,474.39,ADT,,UA,2016-03-12,1457833020000,833,1,2016-03-19,1458434700000,827,1,UA,2,33,7,True,4,E,E
